iter	Passed	Remaining
590	2075	4948
591	2078	4943
592	2081	4938
593	2084	4933
594	2088	4930
595	2091	4926
596	2094	4921
597	2096	4916
598	2099	4910
599	2103	4907
600	2105	4902
601	2108	4897
602	2111	4891
603	2113	4885
604	2116	4880
605	2120	4877
606	2123	4872
607	2125	4867
608	2128	4861
609	2131	4856
610	2135	4853
611	2137	4848
612	2140	4843
613	2142	4837
614	2145	4832
615	2148	4828
616	2151	4823
617	2154	4818
618	2157	4812
619	2160	4808
620	2163	4803
621	2167	4801
622	2169	4796
623	2172	4790
624	2175	4785
625	2177	4779
626	2181	4777
627	2184	4773
628	2188	4769
629	2190	4763
630	2193	4758
631	2197	4756
632	2200	4752
633	2203	4748
634	2206	4743
635	2209	4737
636	2212	4734
637	2216	4731
638	2219	4726
639	2221	4721
640	2224	4715
641	2226	4710
642	2230	4708
643	2233	4702
644	2236	4697
645	2238	4692
646	2241	4687
647	2245	4686
648	2248	4681
649	2251	4675
650	2253	4670
651	2256	4665
652	2260	4661
653	2262	4657
654	2265	4651
655	2268	4646
656	2270	4641
657	2273	4636
658	2276	4633
659	2279	4628
660	2282	4623
661	2285	4618
662	2287	4613
663	2291	4610
664	2294	4605
665	2296	4600
666	2299	4595
667	2302	4590
668	2304	4585
669	2308	4583
670	2311	4578
671	2314	4573
672	2317	4568
673	2319	4564
674	2324	4562
675	2327	4557
676	2330	4553
677	2333	4549
678	2336	4544
679	2340	4542
680	2343	4539
681	2346	4534
682	2349	4529
683	2351	4524
684	2355	4522
685	2358	4517
686	2361	4512
687	2364	4508
688	2366	4503
689	2370	4501
690	2374	4497
691	2377	4493
692	2380	4488
693	2382	4484
694	2386	4481
695	2389	4477
696	2393	4473
697	2395	4469
698	2398	4464
699	2404	4464
700	2408	4462
701	2410	4457
702	2413	4453
703	2416	4449
704	2420	4446
705	2423	4441
706	2426	4437
707	2429	4432
708	2433	4430
709	2436	4427
710	2439	4422
711	2442	4418
712	2445	4414
713	2449	4411
714	2452	4408
715	2455	4403
716	2458	4399
717	2461	4394
718	2464	4391
719	2468	4387
720	2470	4383
721	2473	4378
722	2476	4374
723	2479	4370
724	2483	4367
725	2486	4362
726	2489	4359
727	2492	4355
728	2496	4352
729	2504	4357
730	2507	4352
731	2509	4347
732	2514	4345
733	2517	4341
734	2519	4337
735	2522	4332
736	2525	4327
737	2529	4324
738	2532	4320
739	2534	4316
740	2537	4311
741	2540	4306
742	2544	4304
743	2546	4299
744	2550	4296
745	2553	4292
746	2556	4287
747	2560	4285
748	2563	4281
749	2566	4277
750	2568	4272
751	2571	4267
752	2574	4263
753	2578	4260
754	2581	4256
755	2583	4251
756	2586	4247
757	2589	4242
758	2593	4239
759	2595	4235
760	2598	4230
761	2601	4226
762	2603	4221
763	2607	4218
764	2610	4214
765	2613	4209
766	2615	4205
767	2618	4200
768	2621	4196
769	2637	4213
770	2641	4210
771	2645	4207
772	2648	4204
773	2651	4200
774	2656	4198
775	2658	4193
776	2661	4189
777	2664	4184
778	2667	4180
779	2670	4177
780	2673	4173
781	2676	4169
782	2679	4164
783	2682	4160
784	2685	4156
785	2688	4153
786	2691	4148
787	2695	4145
788	2698	4141
789	2701	4137
790	2705	4134
791	2708	4130
792	2710	4126
793	2713	4121
794	2716	4117
795	2720	4114
796	2723	4110
797	2725	4106
798	2729	4102
799	2732	4098
800	2736	4096
801	2739	4092
802	2742	4088
803	2745	4083
804	2748	4079
805	2752	4077
806	2755	4074
807	2758	4069
808	2761	4066
809	2765	4062
810	2769	4059
811	2771	4055
812	2774	4051
813	2777	4046
814	2780	4042
815	2784	4040
816	2788	4037
817	2791	4033
818	2794	4029
819	2798	4027
820	2802	4025
821	2806	4021
822	2809	4017
823	2814	4016
824	2817	4012
825	2820	4009
826	2823	4005
827	2829	4004
828	2833	4001
829	2837	3999
830	2840	3996
831	2847	3996
832	2850	3993
833	2854	3991
834	2858	3988
835	2864	3987
836	2867	3984
837	2871	3982
838	2875	3979
839	2879	3977
840	2883	3973
841	2886	3969
842	2889	3965
843	2894	3964
844	2897	3960
845	2900	3956
846	2903	3952
847	2907	3950
848	2911	3947
849	2914	3943
850	2917	3939
851	2920	3934
852	2925	3933
853	2928	3929
854	2932	3926
855	2934	3922
856	2939	3920
857	2946	3921
858	2949	3917
859	2951	3912
860	2957	3911
861	2960	3908
862	2963	3904
863	2966	3900
864	2970	3897
865	2975	3896
866	2979	3893
867	2981	3888
868	2985	3885
869	2991	3885
870	2994	3881
871	2997	3877
872	3000	3874
873	3005	3871
874	3008	3867
875	3011	3864
876	3014	3860
877	3019	3859
878	3022	3855
879	3026	3852
880	3029	3848
881	3035	3847
882	3038	3844
883	3042	3840
884	3045	3836
885	3050	3835
886	3054	3832
887	3057	3828
888	3060	3824
889	3066	3824
890	3069	3820
891	3073	3817
892	3076	3813
893	3082	3813
894	3085	3809
895	3088	3805
896	3092	3802
897	3096	3800
898	3100	3797
899	3103	3793
900	3106	3789
901	3111	3787
902	3115	3784
903	3118	3780
904	3121	3776
905	3124	3772
906	3129	3771
907	3132	3767
908	3135	3763
909	3139	3759
910	3143	3757
911	3147	3754
912	3150	3751
913	3153	3746
914	3156	3742
915	3161	3740
916	3164	3736
917	3167	3733
918	3170	3729
919	3174	3726
920	3178	3723
921	3181	3719
922	3184	3715
923	3187	3711
924	3195	3714
925	3198	3710
926	3201	3705
927	3205	3702
928	3209	3699
929	3212	3695
930	3215	3691
931	3218	3687
932	3224	3688
933	3228	3684
934	3231	3681
935	3234	3676
936	3240	3675
937	3243	3672
938	3246	3668
939	3249	3663
940	3253	3661
941	3257	3658
942	3260	3654
943	3263	3650
944	3266	3647
945	3272	3646
946	3275	3642
947	3278	3638
948	3281	3634
949	3287	3633
950	3290	3629
951	3293	3625
952	3296	3621
953	3300	3618
954	3312	3624
955	3316	3622
956	3343	3644
957	3349	3643
958	3354	3641
959	3358	3638
960	3362	3635
961	3367	3633
962	3371	3630
963	3374	3626
964	3377	3622
965	3381	3619
966	3386	3617
967	3389	3613
968	3392	3609
969	3395	3605
970	3402	3605
971	3405	3601
972	3408	3597
973	3413	3595
974	3417	3593
975	3421	3589
976	3424	3585
977	3429	3583
978	3432	3580
979	3435	3576
980	3438	3572
981	3442	3568
982	3446	3566
983	3449	3562
984	3452	3558
985	3455	3553
986	3461	3552
987	3464	3548
988	3467	3544
989	3470	3540
990	3474	3537
991	3478	3534
992	3481	3530
993	3484	3526
994	3487	3522
995	3493	3521
996	3496	3517
997	3499	3513
998	3501	3509
999	3505	3505
1000	3509	3502
1001	3512	3498
1002	3515	3494
1003	3518	3490
1004	3524	3488
1005	3527	3485
1006	3530	3481
1007	3533	3477
1008	3537	3474
1009	3541	3471
1010	3544	3467
1011	3547	3463
1012	3550	3459
1013	3555	3457
1014	3558	3453
1015	3561	3449
1016	3564	3445
1017	3567	3440
1018	3577	3444
1019	3580	3440
1020	3583	3436
1021	3588	3433
1022	3591	3429
1023	3593	3425
